Index,Poster (Excel Formula),Chinese Title,English Title,Score,Categories,Region,Duration,Release Date,Poster URL,Local Poster Path
69,"=IMAGE(""https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c"")",大話西遊之月光寶盒,A Chinese Odyssey,8.9,喜劇/愛情/奇幻/古裝,中國香港、中國大陸,87 分鐘,2014-10-24 上映,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c,posters/69_大話西遊之月光寶盒.jpg
70,"=IMAGE(""https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c"")",放牛班的春天,Les choristes,8.9,劇情/音樂,法國、德國、瑞士,97 分鐘,2004-10-16 上映,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c,posters/70_放牛班的春天.jpg
71,"=IMAGE(""https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c"")",當幸福來敲門,The Pursuit of Happyness,8.9,劇情/家庭/傳記,美國,117 分鐘,2008-01-17 上映,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,posters/71_當幸福來敲門.jpg
72,"=IMAGE(""https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c"")",幽靈公主,もののけ姫,8.9,動畫/奇幻/冒險,日本,134 分鐘,1998-05-01 上映,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c,posters/72_幽靈公主.jpg
73,"=IMAGE(""https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c"")",十二怒漢,12 Angry Men,8.9,劇情,美國,96 分鐘,1957-04-13 上映,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,posters/73_十二怒漢.jpg
74,"=IMAGE(""https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c"")",搏擊俱樂部,Fight Club,8.9,劇情/動作/懸疑/驚悚,美國、德國,139 分鐘,1999-09-10 上映,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c,posters/74_搏擊俱樂部.jpg
75,"=IMAGE(""https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c"")",瘋狂原始人,The Croods,8.9,喜劇/動畫/冒險,美國,98 分鐘,2013-04-20 上映,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,posters/75_瘋狂原始人.jpg
76,"=IMAGE(""https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c"")",阿凡達,Avatar,8.9,動作/科幻/冒險,美國、英國,162 分鐘,2010-01-04 上映,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,posters/76_阿凡達.jpg
77,"=IMAGE(""https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c"")",哈爾的移動城堡,ハウルの動く城,8.9,動畫/奇幻/冒險,日本,119 分鐘,2004-09-05 上映,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,posters/77_哈爾的移動城堡.jpg
78,"=IMAGE(""https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c"")",盜夢空間,Inception,8.9,劇情/科幻/懸疑/冒險,美國、英國,148 分鐘,2010-09-01 上映,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,posters/78_盜夢空間.jpg
79,"=IMAGE(""https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c"")",忠犬八公的故事,Hachi: A Dog's Tale,8.9,劇情,美國、英國,93 分鐘,2009-06-13 上映,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,posters/79_忠犬八公的故事.jpg
80,"=IMAGE(""https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c"")",拯救大兵瑞恩,Saving Private Ryan,8.9,劇情/歷史/戰爭,美國,169 分鐘,1998-11-13 上映,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,posters/80_拯救大兵瑞恩.jpg
81,"=IMAGE(""https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c"")",活着,To Live,9.0,劇情/家庭/歷史,中國大陸、中國香港,132 分鐘,1994-05-17 上映,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,posters/81_活着.jpg
82,"=IMAGE(""https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c"")",機器人總動員,WALL·E,9.0,喜劇/科幻/動畫,美國,98 分鐘,2008-06-27 上映,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,posters/82_機器人總動員.jpg
83,"=IMAGE(""https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c"")",天堂電影院,Nuovo Cinema Paradiso,9.0,劇情/愛情,意大利、法國,155 分鐘,1988-11-17 上映,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,posters/83_天堂電影院.jpg
84,"=IMAGE(""https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c"")",指環王2：雙塔奇兵,The Lord of the Rings: The Two Towers,9.0,劇情/動作/奇幻/冒險,美國、新西蘭,179 分鐘,2003-04-25 上映,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c,posters/84_指環王2：雙塔奇兵.jpg
85,"=IMAGE(""https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c"")",指環王1：護戒使者,The Lord of the Rings: The Fellowship of the Ring,9.0,劇情/動作/奇幻/冒險,新西蘭、美國,178 分鐘,2002-04-04 上映,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c,posters/85_指環王1：護戒使者.jpg
86,"=IMAGE(""https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c"")",射鵰英雄傳之東成西就,The Eagle Shooting Heroes,9.0,喜劇/奇幻/武俠/古裝,中國香港,113 分鐘,1993-02-05 上映,https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c,posters/86_射鵰英雄傳之東成西就.jpg
87,"=IMAGE(""https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c"")",蝙蝠俠：黑暗騎士,The Dark Knight,9.0,劇情/動作/科幻/驚悚/犯罪,美國、英國,152 分鐘,2008-07-14 上映,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c,posters/87_蝙蝠俠：黑暗騎士.jpg
88,"=IMAGE(""https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c"")",無間道,Infernal Affairs,9.0,劇情/懸疑/犯罪,中國香港,101 分鐘,2003-09-05 上映,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,posters/88_無間道.jpg
89,"=IMAGE(""https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c"")",教父2,The Godfather: Part Ⅱ,9.0,劇情/犯罪,美國,202 分鐘,1974-12-12 上映,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,posters/89_教父2.jpg
90,"=IMAGE(""https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c"")",加勒比海盜,Pirates of the Caribbean: The Curse of the Black Pearl,9.0,動作/奇幻/冒險,美國,143 分鐘,2003-11-21 上映,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,posters/90_加勒比海盜.jpg
91,"=IMAGE(""https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c"")",哈利·波特與魔法石,Harry Potter and the Sorcerer's Stone,9.0,奇幻/冒險,美國、英國,152 分鐘,2002-01-26 上映,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,posters/91_哈利·波特與魔法石.jpg
